account_id,city,state,region
314788981272,PYEONGCHANGGUN,GANGWONDO,gangwon
652979882007,SASANGGU,BUSAN,chungnam
550624504897,YUSEONGGU,DAEJEON,chungnam
136483892757,DAEJEON,DAEJEON,chungnam
833230608026,DAEJEON,DAEJEON,chungnam
704033196002,CHEONGJUSISEOWONGU,CHUNGCHEONGBUKDO,chungbuk
482287752967,DAEJEON,DAEJEON,chungnam
942083365966,BUSAN,BUSAN,gyeongnam
97427515379,CHANGWONSI,"GYEONGSANGNAMDO,REPUBLICOFKOREA",gyeongnam
72425172420,CHEONANSI,CHEONANSI,chungnam
708410242630,GEOJESI,GTEONGSANGNAMDO,gyeongnam
635608362793,JEONJUSI,"JEOLLABUKDO,REPUBLICOFKOREA",jeonbuk
928034998517,대구시,북구,gyeongbuk
120503565965,JEJUSI,JEJUDO,jeju
929086262490,"HEUNGDEOKGU,CHEONGJUSI",CHUNGCHEONGBUKDO,chungbuk
65530583334,YESANGUN,CHUNGCHEONGNAMDO,chungnam
162587444134,"HAEUNDAEGU,BUSAN",BUSAN,gyeongnam
845959070026,SUSEONGGU,DAEGU,gyeongbuk
600454192123,YUSEONGGU,DAEJEON,chungnam
961368271643,춘천시,강원도,gangwon
159552820182,SAHAGU,BUSAN,gyeongnam
416424966108,NONSANSI,"CHUNGCHEONGNAMDO,",chungnam
207022509372,HAMANGEUN,GYEONGSANGNAMDO,gyeongnam
106523991214,JEJUSI,JEJUDO,jeju
130341537955,YUSEONGGU,DAEJEON,chungnam
324875961444,DAEJEON,DAEJEON,chungnam
132180293282,DONGGU,DAEGU,chungnam
101225378880,유성,대전광역,chungnam
801339058572,CHEONANSI,CHUNGCHENGNAMDO,chungnam
692208835809,SUYEONGGU,BUSAN,gyeongnam
743883563350,DAEGU,,gyeongbuk
793141853107,김해시,경상남도,gyeongnam
304077475632,JEJUSI,JEJUDO,jeju
487171992917,SASANGGU,BUSAN,chungnam
783276541515,부산,부산,gyeongnam
425503084488,GWANGJU,GWANGJU,jeonnam
693756507921,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
803609402610,해운대구,부산광역시,gyeongnam
53566730623,SOKCHOSI,GANGWONDO,gangwon
615183903221,BUSANJINGU,BUSAN,gyeongnam
69241963837,BUSANJINGU,BUSAN,gyeongnam
237523892448,천안시동남구,충청남도,chungnam
592824329320,BUKGU,GWANGJU,jeonnam
217009355639,DAEGU,SUSEONGGU,gyeongbuk
142222307585,DEOKJINGU,JEONJUSI,jeonbuk
430070626137,NAMGU,GWANGJU,jeonnam
619330528850,ULSAN,ULSAN,gyeongnam
192219970851,DAEGU,DAEGUBUKGU,jeonnam
198418137386,GWANGJU,GWANGJU,jeonnam
24603751166,BUSANJINGU,BUSAN,gyeongnam
829606640113,DAEJEON,DAEJEON,chungnam
328081022841,YUSEONGGU,DAEJEON,chungnam
273206896618,SEOGU,DAEJEONSI,chungnam
124011102532,YUSEONGGU,DAEJEON,chungnam
406766192240,DAEGU,DAEGU,gyeongbuk
146605184374,YANGSANSI,YANGSANSI,gyeongnam
5584128559,GEUMJEONGGU,BUSAN,gyeongnam
574768441736,금정구,부산광역시,gyeongnam
55603080472,DONGGU,GWANGJU,chungnam
333247141810,JEJUSI,JEJUDO,jeju
581295362301,BUKGU,KWANGJUMETROPOLITANCITY,jeonnam
92461746736,CHANGWON,GYEONGSANGNAMDO,gyeongnam
803701122439,서북구,"천안시,충청남도",chungnam
570682799230,GWANGSANGU,GWANGJU,jeonnam
68549478648,NAMGU,BUSAN,gyeongnam
694701194413,SUSEONGGU,DAEGU,gyeongbuk
372216552395,BUKGU,DAEGU,jeonnam
746801451323,CHEONGJUSI,CHUNGCHEONGBUKDO,chungbuk
534688768432,HAEUNDAEGU,BUSAN,gyeongnam
196081966975,YUSEONGGU,DAEJEON,chungnam
85435999521,DAEJEON,DAEJEON,chungnam
696268678017,SOKCHO,GANGWON,gangwon
901349641272,해운대구,부산시,gyeongnam
468185497450,"NAMGU,GWANGJU",,jeonnam
496424516857,YUSEONGGU,DAEJEON,chungnam
127399066016,"HEUNGDEOKGU,CHEONGJUSI,",CHUNGCHEONGBUKDO,chungbuk
899229948077,DAEJEON,DAEJEON,chungnam
499591144128,DAEJEON,DAEJEON,chungnam
385427752512,SEJONGSI,CHUNGCHEONGNAMDO,chungnam
229159756106,CHUNCHEONSI,GANGWONDO,gangwon
651207886513,BUKGU,DAEGU,jeonnam
724796853487,YUSEONGGU,DAEJEON,chungnam
970037726353,SEBUKGU,CHEONANSI,chungnam
82125778989,DONGGU,DAEGU,chungnam
466097646816,SEOBUKGU,"CHEONANSI,CHUNGCHEONGNAMDO",chungnam
234164473933,JEJUSI,JEJUDO,jeju
827331594275,JEJUDO,JEJUSI,jeju
426724225759,SEOGU,DAEJEON,chungnam
106260101445,POHANGSI,GYEONGSANGBUKDO,gyeongbuk
853287234991,NAMGU,DAEGUSI,gyeongbuk
155439959656,"YUSEONGGU,DAEJEON",DAEJEON,chungnam
778163507632,ASANSI,CHUNGCHEONGNAMDO,chungnam
474494708746,ULSAN,ULSAN,gyeongnam
126642172158,CHANWON,CHNAGGU,gyeongnam
746239857179,BUSAN,HAEUNDAEGU,gyeongnam
871417394918,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
716974683462,EUICHANGGU,"CHANGWONCITY,GYEONGSANGNAMDO",gyeongnam
946246755543,YUSEONGGU,DAEJEON,chungnam
251443386529,BUSAN,BUSAN,gyeongnam
980992803662,BUSAN,BUSANHYUNGYOUN,gyeongnam
13792029325,해운대구,부산,gyeongnam
380514477428,HAEUNDAEGU,BUSAN,gyeongnam
277594157080,CHANGWONSI,GYEONGSANGNAMDO,gyeongnam
953828508742,GEUMSANGUN,CHUNGCHEONGNAMDO,chungnam
206630704177,DALSEOGU,DAEGU,gyeongbuk
805322591081,GUMISINPYEONGDONG,GYEONGBUK,gyeongbuk
827563831690,YEONGDOGU,BUSAN,gyeongnam
807387505532,JEJUSI,JEJUDO,jeju
275082013573,HAEUNDAEGU,BUSAN,gyeongnam
475565042339,HAMYANGGUN,GYEONGSANGNAMDO,gyeongnam
992664396182,CHANGWONSIUICHANGGU,GYEONGSANGNAMDO,gyeongnam
775170237870,YANGSANSI,GYEONGSANGNAMDO,gyeongnam
315455423769,YUSEONGGU,DAEJEON,chungnam
117570031315,BUKGU/BUSAN,BUSAN,jeonnam
568884662177,DONGREGU,PUSAN,gyeongnam
522751466539,GONGJU,CHOONGCHUNGNAMDO,chungnam
876464907430,유성구,대전시,chungnam
381911577375,JEONJUSI,JEOLLABUKDO,jeonbuk
110745277074,BUSANJINGU,BUSAN,gyeongnam
334874813463,YUSEONGGU,DAEJEON,chungnam
126083874857,대구시,서구,gyeongbuk
223771790718,YEONGYANGGUN,GYEONGSANGBUKDO,gyeongbuk
314366715772,HAEUNDAEGU,BUSAN,gyeongnam
190009833917,WONJUSI,GANGWONDO,gangwon
119870919678,JEJUSI,JEJUDO,jeju
641874817971,제주시,중앙로,jeju
978685613124,BUSAN,BUSAN,gyeongnam
279757042242,GEUMJEONGGU,BUSAN,gyeongnam
774506528175,POHANG,GYEONGSANGBUKDO,gyeongbuk
176024265639,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
997593730293,JEJUSI,JEJUDO,jeju
567783968455,GYEONGJUSI,GYEONGSANGDO,gyeongbuk
273774549819,BUKGU,GWANGJU,jeonnam
946246907624,ULSAN,REPUBLICOFKOREA,gyeongnam
138016751974,BUKGU,GWANGJU,jeonnam
24148407633,GUNSANSI,"JEOLLABUKDO,",jeonbuk
175860785444,BUSAN,GEUMJEONGGU,gyeongnam
766122107621,YUSEONGGU,DAEJEON,chungnam
640890924827,DAEJEON,YUSEONGGU,chungnam
505075374637,JEJUDO,제주도,jeju
558211169841,CHUNCHEONSI,GANGWONDO,gangwon
543830718914,DAEJEON,DAEJEON,chungnam
351656717525,YUSEONGGU,DAEJEON,chungnam
841123294064,광주광역시,광산구수완로,jeonnam
753734268259,DAEJEON,DAEJEON,chungnam
99043453082,"SEOGU,","DAEJEON,REPUBLICOFKOREA",chungnam
193770509454,YUSEONGGU,DAEJEON,chungnam
747284311314,CHEONANSI,CHUNGCHEONGNAMDO,chungnam
549386280094,"DONGSONGEUP,CHEORWONGUN",GANGWONDO,gangwon
209751368438,DAEJON,KOREA,chungnam
579246456414,BUSAN,BUSAN,gyeongnam
954120413483,DAEGU,DAEGU,gyeongbuk
366164915262,ULSAN,ULSAN,gyeongnam
277341736124,NAJUSI,JEOLLANAMDO,jeonnam
323781595629,CHEONANSI,CHUNGCHEONNAMDO,chungnam
192393874906,"UICHANGGU,CHANGWONSI",GYEONGSANGNAMDO,gyeongnam
115915127416,CHUNCHEONSI,GANGWONDO,gangwon
607572082358,DALSEOGU,DAEGU,gyeongbuk
568850609033,JEONJUSI,JEOLLABUKDO,jeonbuk
73256704405,CHUNCHEONSI,GANGWONDO,gangwon
982055397239,BUKGU,GWANGJU,jeonnam
411282180202,GEOJE,GYEONGSANGNAMDO,gyeongnam
552213950844,DAEJEON,KOREA,chungnam
817353258019,GANGNEUNGSI,GANGWONDO,gangwon
21739836026,CHUNGJUSI,"CHUNGCHEONGBUKDO,REPUBLICOFKOREA",chungbuk
27412782824,"YUSEONGGU,DAEJEON",DAEJEON,chungnam
574582979245,DONGGU,ULSAN,chungnam
980925622973,JEJUSI,JEJUDO,jeju
72969142299,USEONGGU,DAEJEON,chungnam
4244720045,WONJU,"GANGWON,REPUBLICOFKOREA",gangwon
859788540101,경산시,경상북도,gyeongbuk
427498558464,USUNGGU,DAEJEUNSI,chungnam
440097314182,홍성군,충청남도,chungnam
31477387110,북구,광주광역시,jeonnam
687347800671,HAEUNDAEGU,BUSAN,gyeongnam
734147774057,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
68787562719,GIMHAESI,GYEONGSANGNAMDO,gyeongnam
924114414273,NAJUSI,JELLONAMDO,jeonnam
683234597896,대구광역시,대구광역시,gyeongbuk
566230547915,동래구,부산광역시,gyeongnam
444092041803,DAEJEON,REPUBLICOFKOREAN,chungnam
532824362669,CHEONGJU,CHUNGBUK,chungbuk
723389262721,DAEGEON,DAEGEON,chungnam
320486674021,REPUBLICOFKOREA,GWANGJUSI,jeonnam
931391087563,YUSEONGGU,DAEJEON,chungnam
49882384410,연제구,부산,gyeongnam
851045659453,DAEGU,DAEGU,gyeongbuk
923616440028,YANGSANSI,GYEONGSANGNAMDO,gyeongnam
406211104684,CHEONANSI,CHUNGCHEONGNAMDO,chungnam
558315926215,BUSAN,BUSAN,gyeongnam
755842641280,GUNSANSI,JEOLLABUKDO,jeonbuk
984384787680,BUSAN,BUSAN,gyeongnam
736326627779,DONGU,GWANGJU,jeonnam
666008283889,CHANGWONSI,GYEONGSANGNAMDO,gyeongnam
45644397487,부산광역시,해운대구,gyeongnam
165527517213,DONGGU,GWANGJU,chungnam
500823969429,HEAUNDAEGU,BUSAN,gyeongnam
252542922739,ULJUGUN,ULSAN,gyeongnam
105692456141,CHEONGJUSI,CHUNGCHEONGBUKDO,chungbuk
845054804066,YUSEONGGU,DAEJEON,chungnam
779062993307,YUSEONGGU,DAEJEON,chungnam
387752363141,JEOLLABUKDO,JEONJUSI,jeonbuk
688313650275,DAEJEON,DAEJEON,chungnam
114810991543,JEJUSI,JEJUDO,jeju
657324179024,CHUNCHEONSI,GANGWONDO,gangwon
225081905676,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
537677347040,DEAJEONSEOGU,DEAJEON,chungnam
545123766493,YUSEONG,DAEJEON,chungnam
324312199763,DONGGU,ULSAN,chungnam
